,datetime,text,user,location
68,2020-06-21 14:37:47,Ordered me and @SufferingSappho Johnny funko's yay for ShopDisney sale.,xjackieleanne,"Manchester, England"
69,2020-06-21 14:08:32,"""Let me take a selfie."" Limited Edition Mickey &amp; Minnie National Selfie Day pin available now! 📸… https://t.co/tEO8qWuiwm",disney_dooney,
70,2020-06-21 13:58:06,The 6th Celebrate Today pin features National Selfie Day! Available today at shopDisney: https://t.co/FbDx9ofwuF https://t.co/hENk5CDsmx,DisneyPinsBlog,"Orlando, FL"
71,2020-06-21 13:50:04,Alright I can’t get into the site but that Pizza Planet pizza maker is ADORABLE https://t.co/dy6uuhPZ4J,missalyss731,"New York, USA"
72,2020-06-21 13:34:02,@WaltDisneyWorld @DisneyStyle @shopDisney @ResortTV1 @DisneyFoodBlog Who else wishes Disney would come out with a D… https://t.co/i8nypO6b7Q,amberndon2,"Ohio, USA"
73,2020-06-21 13:17:06,@dividedwefall21 @Corteylo @shopDisney Is this referencing pizza gate?,brianna_turek,
74,2020-06-21 12:19:05,@MancityReynolds @shopDisney That’s a lot of plastic. Can’t they put it all in one bag?,ItsCousinErnie,"Bent Fork, TN"
75,2020-06-21 12:17:02,"Hey, .@shopDisney, I bought the Haunted Mansion diorama set for my little sister. 
But is all this plastic necessar… https://t.co/SjFCstIJUM",MancityReynolds,Manchester 🇬🇧
76,2020-06-21 12:04:37,@peacefrog67 @disneyplus @Disney_Family @shopDisney @Disney Look how disgusting you are!,MMZen10,United States
77,2020-06-21 10:25:32,@peacefrog67 @disneyplus @Disney_Family @shopDisney @Disney I don’t blindly support a party or business or news bec… https://t.co/MQHn1SSfvb,MMZen10,United States
78,2020-06-21 09:49:10,"@Disney_UK do you know if/when you will be selling this jacket in the UK.

https://t.co/Pt1ukvMHb4",wafw1971,"Coventry, UK"
79,2020-06-21 09:46:54,@caballero_duck Ok look I don’t really care if I’m on these or not. But how is ShopDisney on there and not me lmfaoo,MrDreamFinder,Epcot
